Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,1676310877,1945835371,2308707373,2588749896,2691300679,2905605500,3076523500,3301346400,3572185600,3663174300,3706611800,3967812100,4046850300,4096952000,4409259400,4593654700,4550246800,4600777500,4936345700,4917432700,4972872400,5126511500,5220621700,4610971000,4484932100,4636040100,4587788200,4882851000,4805380900,4775413300,4857532500,5199917300,5324563752,5205696040,3841188324,4768167988,5174316632,5394934975
Africa Eastern and Southern,AFE,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.18237E+11,3.78789E+11,4.87122E+11,5.30146E+11,5.37643E+11,5.98019E+11,6.30057E+11,7.17171E+11,7.4532E+11,9.04748E+11,1.03469E+12,1.0391E+12,1.17161E+12,1.23723E+12,1.27094E+12,1.28939E+12,1.31853E+12,1.35343E+12,1.36953E+12,1.4231E+12,1.38964E+12,1.10144E+12,1.03271E+12,1.06071E+12
Africa Western and Central,AFW,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,4.13871E+11,3.95661E+11,3.95661E+11,4.12278E+11,4.37015E+11,4.52311E+11,4.65428E+11,4.8443E+11,5.1412E+11,5.14334E+11,4.96589E+11,5.01512E+11,4.72232E+11,3.58975E+11,3.63783E+11,4.1835E+11,4.75013E+11,5.09567E+11,5.33471E+11,5.45109E+11,5.6176E+11,5.85388E+11,6.65385E+11,6.8528E+11,7.60318E+11,8.74594E+11,9.7561E+11,1.11229E+12,1.23654E+12,1.24717E+12,1.30203E+12,1.34723E+12,1.46231E+12,1.53477E+12,1.60878E+12,1.62396E+12,1.58206E+12,1.57973E+12,1.55894E+12,1.54799E+12,1.46071E+12,1.47823E+12,1.52324E+12,1.53849E+12
Albania,ALB,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,5.53264E+11,5.85052E+11,6.02303E+11,6.08958E+11,6.01337E+11,6.12044E+11,6.46547E+11,6.41453E+11,6.32344E+11,6.94545E+11,6.28038E+11,4.52174E+11,4.19676E+11,4.59794E+11,4.9797E+11,5.64311E+11,6.15664E+11,5.48433E+11,5.96857E+11,6.73796E+11,7.206E+11,7.80361E+11,8.15763E+11,8.60863E+11,9.08337E+11,9.58536E+11,1.01511E+12,1.07585E+12,1.15654E+12,1.19533E+12,1.23965E+12,1.2712E+12,1.28921E+12,1.30213E+12,1.32524E+12,1.35464E+12,1.39955E+12,1.45277E+12,1.51116E+12,1.54233E+12,1.49122E+12,1.62498E+12,1.70341E+12,1.77046E+12
Andorra,AND,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,763613110,799117037,864243026,931554311,983896388,989231130,1021913220,1050920999,1066295975,1066739098,1090300459,1088856089,1102428257,1121942541,1141965700,1168475669,1206489943,1273415414,1338287349,1402886938,1455935530,1493003700,1506876900,1491333700,1526874900,1568978500,1641931900,1790816900,1848029800,1923782000,1991660000,2153370000,2251270000,2447000000,2646080000,2788910000,2923020000,2968420000,2803400000,2654740000,2602310000,2602100000,2472660000,2384940000,2444670000,2479730000,2571720000,2580620000,2621620000,2674460000,2375350000,2572190000,2818210000,2891020000
Arab World,ARB,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,52947805184,72333255683,1.00601E+11,1.77681E+11,2.03442E+11,2.16111E+11,2.51827E+11,3.05817E+11,3.00956E+11,3.63927E+11,4.50813E+11,4.71817E+11,4.40115E+11,4.19227E+11,4.36068E+11,4.20393E+11,3.5751E+11,3.69601E+11,3.59922E+11,4.04328E+11,4.78434E+11,4.82549E+11,4.9869E+11,5.04979E+11,5.39803E+11,5.75905E+11,6.09298E+11,6.59202E+11,6.61127E+11,6.80314E+11,7.54146E+11,7.64698E+11,7.83306E+11,8.52241E+11,9.3377E+11,9.79106E+11,1.07542E+12,1.10967E+12,1.14509E+12,1.08505E+12,1.10244E+12,1.17097E+12,1.19234E+12,1.25262E+12,1.3048E+12,1.39335E+12,1.47084E+12,1.48165E+12,1.50112E+12,1.51776E+12,1.44252E+12,1.50534E+12,1.61839E+12,1.67695E+12
Argentina,ARG,GDP (constant LCU),NY.GDP.MKTP.KN,1.82932E+11,1.92861E+11,1.91218E+11,1.81068E+11,1.99411E+11,2.20487E+11,2.19032E+11,2.26024E+11,2.36924E+11,2.59857E+11,2.67771E+11,2.82922E+11,2.87529E+11,2.95614E+11,3.11973E+11,3.11884E+11,3.0559E+11,3.2678E+11,3.12054E+11,3.43955E+11,3.49179E+11,3.31057E+11,3.28622E+11,3.42914E+11,3.483E+11,3.30227E+11,3.50547E+11,3.60029E+11,3.56105E+11,3.30618E+11,3.22461E+11,3.51912E+11,3.79844E+11,4.11018E+11,4.35006E+11,4.22629E+11,4.45987E+11,4.82161E+11,5.00725E+11,4.83773E+11,4.79956E+11,4.58796E+11,4.08812E+11,4.44939E+11,4.85115E+11,5.28056E+11,5.70549E+11,6.21943E+11,6.47176E+11,6.08873E+11,6.70524E+11,7.10782E+11,7.03486E+11,7.20407E+11,7.02306E+11,7.21487E+11,7.06478E+11,7.2639E+11,7.07377E+11,6.93224E+11,6.24591E+11,6.8981E+11,7.26162E+11,7.14464E+11
Armenia,ARM,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.60744E+12,2.30237E+12,1.33998E+12,1.22206E+12,1.28805E+12,1.37693E+12,1.45769E+12,1.5061E+12,1.61605E+12,1.66937E+12,1.76787E+12,1.93758E+12,2.19334E+12,2.50041E+12,2.76296E+12,3.14701E+12,3.56241E+12,4.05046E+12,4.32994E+12,3.71942E+12,3.80125E+12,3.97991E+12,4.26646E+12,4.40725E+12,4.56591E+12,4.71202E+12,4.72145E+12,5.07556E+12,5.33949E+12,5.74529E+12,5.33163E+12,5.64086E+12,6.35161E+12,6.87879E+12
American Samoa,ASM,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725000000,732000000,735000000,732000000,702000000,715000000,696000000,667000000,669000000,669000000,640000000,624000000,635000000,655000000,644000000,599000000,615000000,612000000,639000000,634000000,645000000,
