Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Unnamed: 68
Aruba,ABW,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,1676310877.0,1945835371.0,2308707373.0,2588749896.0,2691300679.0,2905605500.0,3076523500.0,3301346400.0,3572185600.0,3663174300.0,3706611800.0,3967812100.0,4046850300.0,4096952000.0,4409259400.0,4593654700.0,4550246800.0,4600777500.0,4936345700.0,4917432700.0,4972872400.0,5126511500.0,5220621700.0,4610971000.0,4484932100.0,4636040100.0,4587788200.0,4882851000.0,4805380900.0,4775413300.0,4857532500.0,5199917300.0,5324563751.97342,5205696040.09757,3841188323.5657,4768167987.77163,5174316632.08721,5394934974.89874,
Africa Eastern and Southern,AFE,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418236762600.0,378788779600.0,487122375000.0,530146376400.0,537643271700.0,598019077900.0,630057371400.0,717171116900.0,745319967200.0,904747846400.0,1034691726300.0,1039103183900.0,1171612605100.0,1237231635500.0,1270940547900.0,1289385894400.0,1318530066900.0,1353431600000.0,1369526989300.0,1423097453800.0,1389639000000.0,1101444000000.0,1032712000000.0,1060707653200.0,
Africa Western and Central,AFW,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,413870934690.0,395660608520.0,395660608520.0,412278359730.0,437015070240.0,452310595470.0,465427610620.0,484429850040.0,514120024990.0,514334009260.0,496588978370.0,501511959400.0,472232283300.0,358974843500.0,363782821300.0,418350244600.0,475013148600.0,509566922500.0,533471453100.0,545109078000.0,561760112000.0,585387734200.0,665385000000.0,685280011500.0,760318172800.0,874593994100.0,975609600400.0,1112292505500.0,1236535578300.0,1247169784300.0,1302025000000.0,1347232000000.0,1462314000000.0,1534766000000.0,1608781000000.0,1623961000000.0,1582062000000.0,1579733000000.0,1558938000000.0,1547990000000.0,1460711000000.0,1478228000000.0,1523236000000.0,1538488000000.0,
Albania,ALB,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,553263917790.0,585052444710.0,602303282380.0,608958361800.0,601336659380.0,612044324280.0,646546751200.0,641452980110.0,632344093420.0,694544929840.0,628037806540.0,452173770300.0,419675539900.0,459794052500.0,497970139300.0,564311381100.0,615663713600.0,548433334100.0,596856837200.0,673796480100.0,720599843000.0,780361440800.0,815762726100.0,860863289800.0,908337041400.0,958535599900.0,1015114688100.0,1075851634300.0,1156540952600.0,1195334682600.0,1239645000000.0,1271199000000.0,1289214976300.0,1302133136500.0,1325238823000.0,1354642246300.0,1399548375100.0,1452767583700.0,1511159333900.0,1542328015798.7,1491219643297.61,1624975385392.04,1703407882429.73,1770464667366.37,
Andorra,AND,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,763613110.0,799117037.0,864243026.0,931554311.0,983896388.0,989231130.0,1021913220.0,1050920999.0,1066295975.0,1066739098.0,1090300459.0,1088856089.0,1102428257.0,1121942541.0,1141965700.0,1168475669.0,1206489943.0,1273415414.0,1338287349.0,1402886938.0,1455935530.0,1493003700.0,1506876900.0,1491333700.0,1526874900.0,1568978500.0,1641931900.0,1790816900.0,1848029800.0,1923782000.0,1991660000.0,2153370000.0,2251270000.0,2447000000.0,2646080000.0,2788910000.0,2923020000.0,2968420000.0,2803400000.0,2654740000.0,2602310000.0,2602100000.0,2472660000.0,2384940000.0,2444670000.0,2479730000.0,2571720000.0,2580620000.0,2621620000.0,2674460000.0,2375350000.0,2572190000.0,2818210000.0,2891020000.0,
Arab World,ARB,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,52947805184.0,72333255683.0,100600829860.0,177681341667.0,203441655907.0,216110784412.0,251827103646.0,305817147855.0,300955868320.0,363926589357.0,450813243406.0,471817428886.0,440114524020.0,419227477836.0,436067641371.0,420393292402.0,357510289616.0,369601222219.0,359921707337.0,404328456289.0,478433717266.0,482548639300.0,498689625200.0,504979053600.0,539803159300.0,575904581700.0,609297856400.0,659201779800.0,661126611700.0,680313918400.0,754146375700.0,764697524800.0,783306108800.0,852241282600.0,933770404900.0,979106276500.0,1075424091800.0,1109669790900.0,1145088633800.0,1085052531000.0,1102444296018.82,1170973576383.92,1192337764325.82,1252617111281.58,1304797280104.77,1393350908042.75,1470841989977.81,1481653689266.24,1501121342763.95,1517758993229.57,1442522884075.07,1505341225811.69,1618387791171.23,1676952495939.62,
Argentina,ARG,GDP (constant LCU),NY.GDP.MKTP.KN,182932009390.0,192861271430.0,191218051890.0,181067821330.0,199410530600.0,220487093700.0,219032482640.0,226023992090.0,236924000870.0,259857121160.0,267771442210.0,282922301410.0,287529454900.0,295614075960.0,311972780690.0,311884142660.0,305589536220.0,326779566190.0,312054471110.0,343955061570.0,349178995840.0,331057342230.0,328621888570.0,342913961040.0,348300243340.0,330226858890.0,350546962680.0,360028798200.0,356104724290.0,330618488450.0,322461423550.0,351912181900.0,379844477800.0,411018234600.0,435006083700.0,422629248800.0,445986656500.0,482160842800.0,500724897600.0,483773071300.0,479956106900.0,458795611600.0,408812193300.0,444939093600.0,485115195200.0,528055942500.0,570549404200.0,621942502600.0,647176159700.0,608872876400.0,670523679400.0,710781597200.0,703485989500.0,720407105300.0,702306046000.0,721487146600.0,706477848600.0,726389947800.0,707377443000.0,693223803600.0,624591286200.0,689809934000.0,726162087500.0,714463604500.0,
